AR201130,"POLYGON((-54.3333332 -34.6999999,-54.3333332 -36.4333333,-57.4166668 -36.4333333,-57.4166668 -34.6999999,-54.3333332 -34.6999999))"
AR201140,"POLYGON((-55.6666667 -36.4333333,-55.6666667 -38.3333333,-58 -38.3333333,-58 -36.4333333,-55.6666667 -36.4333333))"
AR202100,"POLYGON((-57 -38.3333333,-57 -40.5,-62.5 -40.5,-62.5 -38.3333333,-57 -38.3333333))"
AR202140,"POLYGON((-60.6666667 -40.5,-60.6666667 -42.45,-65.25 -42.45,-65.25 -40.5,-60.6666667 -40.5))"
AR202150,"POLYGON((-62.8166667 -42.45,-62.8166667 -44.8666667,-66.1666667 -44.8666667,-66.1666667 -42.45,-62.8166667 -42.45))"
AR203100,"POLYGON((-62.4166667 -44.8666667,-62.4166667 -47.3,-67.75 -47.3,-67.75 -44.8666667,-62.4166667 -44.8666667))"
AR203170,"POLYGON((-62 -47.3,-62 -49.5,-68 -49.5,-68 -47.3,-62 -47.3))"
AR204130,"POLYGON((-64 -49.5,-64 -51.8666667,-69.5833333 -51.8666667,-69.5833333 -49.5,-64 -49.5))"
AR204160,"POLYGON((-62.532965 -51.8666667,-62.532965 -54.1166667,-68.85 -54.1166667,-68.85 -51.8666667,-62.532965 -51.8666667))"
AR301150,"POLYGON((-56.5833333 -35.3833333,-56.5833333 -36.4333333,-57.45 -36.4333333,-57.45 -35.3833333,-56.5833333 -35.3833333))"
AR302120,"POLYGON((-61.1166667 -38.7416666,-61.1166667 -39.45,-62.3916667 -39.45,-62.3916667 -38.7416666,-61.1166667 -38.7416666))"
AR302130,"POLYGON((-61.15 -39.45,-61.15 -40.8333333,-62.5 -40.8333333,-62.5 -39.45,-61.15 -39.45))"
AR302160,"POLYGON((-62.7166667 -41.8333333,-62.7166667 -43.0333333,-63.8333333 -43.0333333,-63.8333333 -41.8333333,-62.7166667 -41.8333333))"
AR302170,"POLYGON((-63.8333333 -41.6666667,-63.8333333 -42.45,-65.1166667 -42.45,-65.1166667 -41.6666667,-63.8333333 -41.6666667))"
AR302180,"POLYGON((-63.8333333 -42.45,-63.8333333 -43.2333333,-65.1666667 -43.2333333,-65.1666667 -42.45,-63.8333333 -42.45))"
AR303110,"POLYGON((-65 -44.3333333,-65 -44.9166667,-65.75 -44.9166667,-65.75 -44.3333333,-65 -44.3333333))"
AR303120,"POLYGON((-65.3315028 -44.9166667,-65.3315028 -45.332625,-66.9145972 -45.332625,-66.9145972 -44.9166667,-65.3315028 -44.9166667))"
AR304180,"POLYGON((-63.5 -54.3333333,-63.5 -55.2,-65.35 -55.2,-65.35 -54.3333333,-63.5 -54.3333333))"
AR30419A,"POLYGON((-65.35 -54.8333333,-65.35 -55.9,-66.4166667 -55.9,-66.4166667 -54.8333333,-65.35 -54.8333333))"
AR304240,"POLYGON((-67.1666667 -52.2,-67.1666667 -52.9833333,-68.6083333 -52.9833333,-68.6083333 -52.2,-67.1666667 -52.2))"
AR304250,"POLYGON((-67.3916667 -52.9833333,-67.3916667 -53.95,-68.6 -53.95,-68.6 -52.9833333,-67.3916667 -52.9833333))"
AR307240,"POLYGON((-60.1166667 -63.3333333,-60.1166667 -64.3008333,-63.825 -64.3008333,-63.825 -63.3333333,-60.1166667 -63.3333333))"
