AR201130,POINT(-55.875 -35.5666666)
AR201140,POINT(-56.83333335 -37.3833333)
AR202100,POINT(-59.75 -39.41666665)
AR202140,POINT(-62.95833335 -41.475)
AR202150,POINT(-64.4916667 -43.65833335)
AR203100,POINT(-65.08333335 -46.08333335)
AR203170,POINT(-65 -48.4)
AR204130,POINT(-66.79166665 -50.68333335)
AR204160,POINT(-65.6914825 -52.9916667)
AR301150,POINT(-57.01666665 -35.9083333)
AR302120,POINT(-61.7541667 -39.0958333)
AR302130,POINT(-61.825 -40.14166665)
AR302160,POINT(-63.275 -42.4333333)
AR302170,POINT(-64.475 -42.05833335)
AR302180,POINT(-64.5 -42.84166665)
AR303110,POINT(-65.375 -44.625)
AR303120,POINT(-66.12305 -45.12464585)
AR304180,POINT(-64.425 -54.76666665)
AR30419A,POINT(-65.88333335 -55.36666665)
AR304240,POINT(-67.8875 -52.59166665)
AR304250,POINT(-67.99583335 -53.46666665)
AR307240,POINT(-61.97083335 -63.8170833)
AR401560,POINT(-58.325 -34.6025)
AR401570,POINT(-57.85666665 -34.7541667)
AR401590,POINT(-56.855 -36.16583335)
AR402490,POINT(-61.85333335 -39.03416665)
AR402500,POINT(-57.4666667 -37.985)
AR402520,POINT(-58.6625 -38.63333335)
AR402550,POINT(-62.05333455 -38.94998605)
AR402560,POINT(-62.27916665 -38.8666667)
AR402620,POINT(-64.93333335 -40.83333335)
AR402640,POINT(-64.96666665 -42.7566667)
AR402770,POINT(-64.425 -42.2416667)
AR403560,POINT(-67.3 -45.64583335)
AR40357A,POINT(-67.40166665 -45.83)
AR403590,POINT(-67.48333335 -46.435)
AR403600,POINT(-65.8041667 -47.8291667)
AR403640,POINT(-67.64166665 -49.25)
AR404520,POINT(-68.95833335 -51.6)
AR404600,POINT(-68.26666665 -53.29166665)
AR420010,POINT(-56.00833335 -35.115)
AR420020,POINT(-56.2 -35.12833335)
AR420030,POINT(-56.72083335 -35.125)
AR420040,POINT(-57.2291667 -34.9333333)
AR420050,POINT(-57.5425 -34.7875)
AR420060,POINT(-58.0975 -34.6091667)
AR420070,POINT(-58.40833335 -34.4675)
AR420090,POINT(-56.8499924 -34.9125)
AR4EM042,POINT(-58.7479167 -34.2225)
